TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ALPA3;39,50;;94,64;7,56;4,79;53,23;13,11;6,98;50,35;52,84;-1,49;-0,22;6,60;15,73;-10,89;2,19;7,98;5,06;11,74;0,63;0,35;0,73;-3,59;-13,58;196.440,65;5,23;0,42;-116,17;25.064.908.610,86
ALPA4;45,92;;110,03;8,78;5,57;53,23;13,11;6,98;58,53;52,84;-1,49;-0,22;7,67;18,29;-12,66;2,19;7,98;5,06;11,74;0,63;0,35;0,73;-3,59;-13,58;69.870.982,15;5,23;0,42;-135,05;25.064.908.610,86
ALPK3;8,57;;-9,71;2,42;0,62;25,38;1,26;-26,33;202,74;378,31;175,57;2,09;2,56;-2,73;-0,67;0,25;-24,89;-6,34;0,30;0,25;0,75;0,24;;;458.752,54;3,55;-0,88;-0,03;1.660.618.378,42
ALSO3;28,31;0,80;44,50;0,99;0,69;66,20;40,15;21,20;23,50;19,17;-4,32;-0,18;9,43;5,27;-0,83;4,37;2,22;1,55;3,37;0,70;0,30;0,07;19,22;-0,15;39.820.144,50;28,66;0,64;0,07;7.524.027.345,18
ALUP11;26,77;3,14;7,22;1,29;0,33;56,04;54,04;15,34;2,06;3,87;2,09;0,77;1,20;4,71;-0,40;1,78;10,53;4,17;14,02;0,40;0,60;0,27;32,68;29,19;30.985.056,08;20,79;3,71;0,12;7.844.602.890,38
ALUP3;8,80;3,18;7,12;1,27;0,33;56,04;54,04;15,34;2,03;3,87;2,09;0,77;1,19;4,65;-0,40;1,78;10,53;4,17;14,02;0,40;0,60;0,27;32,68;29,19;219.786,96;6,93;1,24;0,11;7.844.602.890,38
ALUP4;9,00;3,11;7,28;1,30;0,34;56,04;54,04;15,34;2,07;3,87;2,09;0,77;1,21;4,75;-0,41;1,78;10,53;4,17;14,02;0,40;0,60;0,27;32,68;29,19;269.072,19;6,93;1,24;0,12;7.844.602.890,38
AMAR3;5,96;;;1,65;0,48;39,38;-12,13;0,00;-6,49;-11,48;-4,99;1,27;0,79;6,16;-0,96;1,18;0,00;0,00;-10,34;0,29;0,71;0,60;-7,53;;46.484.101,69;3,61;0,00;;1.559.533.764,44
AMBP3;27,30;0,35;68,78;2,52;1,88;22,63;18,40;6,39;23,88;20,90;-2,98;-0,31;4,39;4,40;-3,96;5,23;3,66;2,73;7,27;0,75;0,25;0,43;;;9.766.948,54;10,85;0,40;1,63;3.083.141.552,40
ANIM3;11,67;;-114,65;1,87;1,03;51,80;8,31;-2,89;39,88;40,22;0,33;0,02;3,31;2,83;-1,90;4,78;-1,63;-0,90;2,96;0,55;0,45;0,31;11,24;;25.083.781,19;6,26;-0,10;-0,35;4.713.148.954,35
APER3;57,10;0,09;4.966,03;2,27;1,47;100,00;-2,85;0,12;-209,77;-209,77;;;5,98;6,02;-2,26;3,28;0,05;0,03;;0,65;0,35;0,25;-11,42;;5.485.416,77;25,14;0,01;-46,87;655.515.651,40
APTI3;197,64;;0,07;0,01;0,01;29,60;283,02;228,44;0,06;0,62;-0,06;-0,01;0,16;0,04;-0,01;2,49;20,23;10,93;19,81;0,54;0,46;0,05;-22,74;84,17;;14.055,55;2.843,13;0,00;44.442.750,00
APTI4;3.500,00;;1,23;0,25;0,13;29,60;283,02;228,44;0,99;0,62;-0,06;-0,01;2,81;0,75;-0,19;2,49;20,23;10,93;19,81;0,54;0,46;0,05;-22,74;84,17;;14.055,55;2.843,13;0,00;44.442.750,00
ARZZ3;81,68;0,68;167,50;6,03;2,87;47,47;5,79;3,05;88,35;89,14;0,79;0,05;5,12;12,45;-6,42;1,72;3,60;1,72;4,34;0,48;0,52;0,56;7,26;-16,50;61.949.163,15;13,54;0,49;-2,39;8.137.893.895,52
ASAI3;88,19;0,36;69,61;14,88;1,34;15,76;4,68;1,97;29,25;35,20;5,94;3,02;1,37;-145,19;-2,25;0,98;21,38;1,93;7,04;0,09;0,91;0,98;;;132.161.849,46;5,93;1,27;;23.665.924.693,73
ATMP3;10,84;;-1,25;1,61;0,15;1,81;-15,64;-22,72;-1,82;-3,58;-1,77;1,56;0,28;-0,78;-0,18;0,48;-128,42;-12,05;-33,09;0,09;0,91;0,53;-16,98;;1.175.757,65;6,74;-8,66;0,03;268.707.036,48
ATOM3;9,05;3,31;15,34;13,02;6,94;100,00;32,02;40,02;19,17;17,67;-1,50;-1,02;6,14;8,33;-318,95;6,76;84,86;45,26;63,27;0,53;0,47;1,13;;;6.974.732,12;0,70;0,59;0,03;189.135.895,70
AURA33;64,75;7,09;8,48;2,99;1,42;45,23;31,96;27,16;7,21;6,66;-0,55;-0,23;2,30;12,52;-2,49;1,36;35,29;16,69;27,80;0,47;0,53;0,61;;;10.870.656,27;21,63;7,63;0,00;4.580.574.285,00
AVLL3;25,98;;-1,90;1,47;0,25;-34,97;-167,68;-170,20;-1,93;-4,03;-2,10;1,60;3,23;1,84;-0,43;1,50;-77,32;-13,36;-22,16;0,17;0,83;0,08;;;270.879,92;17,70;-13,68;0,05;582.362.328,12
